,ID,Title,Year,Rating,Votes,Length,Genres
5505,TT0159784,Takedown (2000),2000,6.1,4108,96 mins.,Crime|Drama|Thriller
5506,TT0043686,Forbidden Games (1952),1952,8.0,4103,86 mins.,Drama|War
5507,TT1512235,Super (2010),2010,7.2,4099,96 mins.,Action|Comedy|Drama
5508,TT0252597,"Feyzo, the Polite One (1978)",1978,8.3,4098,00 mins.,Comedy|Drama|Romance
5509,TT0050766,Curse of the Demon (1957),1957,7.7,4094,95 mins.,Horror
5510,TT0142201,Crazy in Alabama (1999),1999,5.9,4089,111 mins.,Drama|Comedy
5511,TT0076489,"Oh, God! (1977)",1977,6.3,4088,98 mins.,Comedy|Fantasy
5512,TT0417189,Time to Leave (2005),2005,7.1,4087,81 mins.,Drama
5513,TT0116165,Ed (1996),1996,2.4,4085,94 mins.,Comedy|Family|Sport
5514,TT0380366,Ae Fond Kiss... (2004),2004,7.2,4083,104 mins.,Drama|Romance
5515,TT0086450,To Be or Not to Be (1983),1983,6.5,4083,107 mins.,Drama|War|Comedy
5516,TT1068678,Veronika Decides to Die (2009),2009,6.5,4082,103 mins.,Drama
5517,TT1287468,Cats & Dogs: The Revenge of KiTTy Galore (2010),2010,3.6,4080,82 mins.,Action|Comedy|Family
5518,TT0093044,The Fourth Protocol (1987),1987,6.3,4078,119 mins.,Thriller
5519,TT0107889,The Program (1993),1993,6.1,4074,112 mins.,Action|Drama|Sport
5520,TT0311941,Try Seventeen (2002),2002,6.1,4073,93 mins.,Comedy|Romance|Drama
5521,TT0120868,"Torrente, el brazo tonto de la ley (1998)",1998,6.8,4071,97 mins.,Comedy|Crime
5522,TT0396857,Shadowboxer (2005),2005,5.6,4069,93 mins.,Crime|Drama|Thriller
5523,TT0107927,The Real McCoy (1993),1993,5.2,4067,105 mins.,Drama|Action|Crime|Thriller
5524,TT0365265,Ginger Snaps Back: The Beginning (2004),2004,5.9,4067,94 mins.,Fantasy|Horror
5525,TT0094919,CriTTers 2 (1988),1988,4.6,4113,86 mins.,Comedy|Horror|Sci-Fi|Thriller
5526,TT0105636,Trespass (1992),1992,6.0,4111,101 mins.,Action|Thriller
5527,TT0104926,Mr. Baseball (1992),1992,5.5,4110,108 mins.,Comedy|Romance|Sport
5528,TT0120836,Lost & Found (1999),1999,4.7,4109,95 mins.,Comedy|Romance
5529,TT0113537,Kicking and Screaming (1995),1995,7.0,4108,96 mins.,Comedy|Drama|Romance
5530,TT1119191,The Killing Room (2009),2009,5.7,4106,00 mins.,Drama|Horror|Thriller
5531,TT0196158,Ticker (2001),2001,3.3,4101,92 mins.,Action|Thriller|Crime
5532,TT1407084,Twelve (2010),2010,5.5,4099,93 mins.,Drama|Thriller
5533,TT0179955,Cat City (1986),1986,8.0,4095,96 mins.,Animation|Adventure|Comedy
5534,TT0070294,The Legend of Hell House (1973),1973,7.0,4093,95 mins.,Horror|Mystery
5535,TT0246592,Dummy (2002),2002,6.8,4089,91 mins.,Comedy|Drama|Romance
5536,TT0094082,Suspect (1987),1987,6.5,4087,121 mins.,Crime|Drama|Thriller
5537,TT0977214,Hero Wanted (2008),2008,5.6,4087,94 mins.,Action|Crime|Drama|Thriller
5538,TT0796212,Exiled (2006),2006,7.3,4084,110 mins.,Action|Crime|Thriller
5539,TT0114048,Operation Dumbo Drop (1995),1995,4.7,4083,107 mins.,Action|Adventure|Comedy|Drama|Family|War
5540,TT0073012,The Four Musketeers: Milady's Revenge (1974),1974,7.0,4082,108 mins.,Action|Adventure|Romance
5541,TT0386820,Terkel in Trouble (2004),2004,7.0,4080,77 mins.,Animation|Comedy|Drama|Musical|Mystery|Romance|Thriller
5542,TT0094744,Big Top Pee-wee (1988),1988,4.4,4078,86 mins.,Adventure|Family|Comedy
5543,TT0133412,Best Laid Plans (1999),1999,6.2,4076,92 mins.,Crime|Drama|Thriller
5544,TT0116621,In Love and War (1996),1996,5.6,4073,113 mins.,Biography|Drama|Romance|War
5545,TT0367153,Toolbox Murders (2004),2004,5.4,4072,95 mins.,Horror|Mystery
5546,TT0304229,Japanese Story (2003),2003,7.0,4069,110 mins.,Drama|Romance
5547,TT0182000,The Caveman's Valentine (2001),2001,5.9,4068,105 mins.,Crime|Drama|Music|Mystery|Thriller
5548,TT0079638,Norma Rae (1979),1979,7.2,4067,110 mins.,Drama
5549,TT0046754,The Barefoot Contessa (1954),1954,7.0,4065,128 mins.,Drama|Crime|Mystery|Romance
5550,TT0089126,Fandango (1985),1985,6.2,4065,91 mins.,Comedy
5551,TT0055304,Pit and the Pendulum (1961),1961,7.1,4063,80 mins.,Horror|Thriller
5552,TT0996979,Alien Raiders (2008),2008,5.8,4063,85 mins.,Horror|Sci-Fi|Thriller
5553,TT0113799,Memories (1995),1995,7.6,4062,113 mins.,Animation|Fantasy|Sci-Fi|Thriller
5554,TT0926380,The Boys Are Back (2009),2009,6.8,4062,104 mins.,Drama
5555,TT0082351,Eye of the Needle (1981),1981,7.1,4059,112 mins.,Romance|Thriller|War
5556,TT0077288,La cage aux folles (1978),1978,7.1,4058,00 mins.,Comedy
5557,TT0357111,RRRrrrr!!! (2004),2004,5.3,4049,94 mins.,Comedy|Crime
5558,TT1175506,Me and Orson Welles (2008),2008,6.9,4047,114 mins.,Drama
5559,TT0439662,Fanaa (2006),2006,6.8,4045,168 mins.,Drama|Musical|Romance|Thriller
5560,TT0119809,Nowhere (1997),1997,5.7,4040,82 mins.,Comedy|Drama|Sci-Fi
5561,TT0070233,Ivan Vasilievich: Back to the Future (1973),1973,8.0,4035,93 mins.,Action|Adventure|Comedy|Family|History|Sci-Fi
5562,TT1555064,Country Strong (2010),2010,5.9,4032,117 mins.,Drama|Music
5563,TT0133985,A Murder of Crows (1998),1998,6.2,4031,102 mins.,Action|Thriller|Crime
5564,TT0494271,The Unknown Woman (2006),2006,7.5,4029,118 mins.,Drama|Mystery|Thriller
5565,TT0285441,The Fast Runner (Atanarjuat) (2001),2001,7.4,4026,172 mins.,Drama|Fantasy
